Country_Code,Country_Name,Continent,Population,people_fully_vaccinated,median_age,total_cases,total_deaths,life_expectancy,human_development_index,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,total_boosters,reproduction_rate
ISL,Iceland,Europe,372903,16699.26729,37.3,82519.01709,70.38228438,82.99,0.949,14.431,9.207,46482.958,117.992,5.31,6038.921523,0.758570319
ISR,Israel,Asia,9449000,3571864.324,30.6,2193558.984,7103.779332,82.97,0.919,11.733,7.359,33132.32,93.32,6.74,2355239.48,0.842082362
ITA,Italy,Europe,59037472,26807574.28,47.9,10326878.97,117737.2696,83.51,0.892,23.021,16.24,35220.084,113.151,4.78,18957234.23,0.866581197
JAM,Jamaica,North America,2827382,143319.7817,31.4,79115.63326,1771.241647,74.47,0.734,9.684,6.39,8193.571,206.537,11.28,6042.345765,0.73965035
JEY,Jersey,Europe,110796,7196.728827,0,26628.29138,86.6969697,0,0,0,0,0,0,0,3701.530692,0
JOR,Jordan,Asia,11285875,460596.0435,23.2,938780.2315,8708.386946,74.53,0.729,3.81,2.361,8337.49,208.257,11.75,8169.7669,0.645827506
JPN,Japan,Asia,123951696,49745570.35,48.2,8951690.515,24612.08159,84.63,0.919,27.049,18.493,39002.223,79.37,5.72,40693053.77,0.875477855
KAZ,Kazakhstan,Asia,19397998,2440143.034,30.6,817184.4211,11294.01943,73.6,0.825,6.991,4.625,24055.588,466.792,7.11,33353.77545,0.749487179
KEN,Kenya,Africa,54027484,639783.2828,20,205028.7576,3599.407925,66.7,0.601,2.686,1.528,2993.028,218.637,2.92,29048.16317,0.794654235
KGZ,Kyrgyzstan,Asia,6630621,554013.7166,26.3,45081.46429,524.7181677,71.45,0.697,4.489,2.882,3393.474,436.362,7.11,0,0.689541925
KHM,Cambodia,Asia,16767851,3126293.985,25.6,75206.13131,1652.544678,69.82,0.594,4.412,2.385,3645.07,270.892,4,760431.9852,0.623853924
KIR,Kiribati,Oceania,131237,827.8368298,23.2,1574.777001,6.25951826,68.37,0.63,3.895,2.21,1981.132,434.657,22.66,148.8686869,0.066907537
KNA,Saint Kitts and Nevis,North America,47681,1041.143745,0,2952.282828,21.13752914,76.23,0.779,0,0,24654.385,0,12.84,33.49184149,0.3499223
KOR,South Korea,Asia,51815808,21284014.32,43.4,9620081.408,12081.95571,83.03,0.916,13.914,8.622,35938.374,85.998,6.8,9955120.87,0.872618493
KWT,Kuwait,Asia,4268886,265903.1049,33.7,385318.7374,1742.89122,75.49,0.806,2.345,1.114,65530.537,132.235,15.84,88154.74359,0.733535354
LAO,Laos,Asia,7529477,211149.6519,24.4,92858.7871,294.6721057,67.92,0.613,4.029,2.322,6397.36,368.111,4,0,0.494156954
LBN,Lebanon,Asia,5489744,405184.0054,31.1,659788.049,6626.465423,78.93,0.744,8.514,5.43,13367.565,266.591,12.71,55467.81041,0.825097125
LBR,Liberia,Africa,5302690,34748.45455,19.2,4718.134421,194.2968143,64.1,0.48,3.057,1.756,752.788,272.509,2.42,21.05594406,0.41012432
LBY,Libya,Africa,6812344,63605.29448,29,288852.195,3860.687646,72.91,0.724,4.424,2.816,17881.509,341.862,10.43,3878.059829,0.62017094
LCA,Saint Lucia,North America,179872,5615.276612,34.9,13754.56488,201.7715618,76.2,0.759,9.721,6.405,12951.839,204.62,11.62,241.4592075,0.582331002
LIE,Liechtenstein,Europe,39355,0,0,9074.237762,53.8989899,82.49,0.919,0,0,0,0,7.77,2364.345765,0.712432012
LKA,Sri Lanka,Asia,21832150,2336991.657,34.1,371730.8594,8831.65035,76.98,0.782,10.069,5.331,11669.077,197.093,10.68,546953.9487,0.777723388
LSO,Lesotho,Africa,2305826,12392.80497,22.2,18981.5066,426.7521368,54.33,0.527,4.506,2.647,2851.153,405.126,3.94,1150.511267,0.396526807
LTU,Lithuania,Europe,2750058,937633.3362,43.5,600193.2593,5302.132764,75.93,0.882,19.002,13.778,29524.265,342.989,3.67,350710.0023,0.813493789
LUX,Luxembourg,Europe,647601,1089.042735,39.7,155628.6737,558.5392385,82.25,0.916,14.312,9.842,94277.965,128.275,4.42,127671.1352,0.854988345
LVA,Latvia,Europe,1850654,337717.4118,43.9,412106.589,3649.428127,75.29,0.866,19.754,14.136,25063.846,350.06,4.91,77743.62393,0.832299922
MAC,Macao,Asia,695180,192637.1748,39.2,0,0,84.24,0,9.798,4.991,104861.851,0,0,64997.96855,0
MAF,Saint Martin (French part),North America,31816,0,0,5690.208236,27.83916084,82.08,0,0,0,0,0,0,0,0
MCO,Monaco,Europe,36491,305.034965,0,6953.312354,35.21678322,86.75,0,0,0,0,0,5.46,8.234654235,0.723185703
MDA,Moldova,Europe,3272993,141265.5237,37.6,326212.8011,7162.754468,71.9,0.75,10.864,6.955,5189.972,408.502,5.72,3405.501166,0.76993007
MDG,Madagascar,Africa,29611718,65193.86946,19.6,40944.91531,840.999223,67.04,0.528,2.929,1.686,1416.44,405.994,3.94,2637.464646,0.53978244
MDV,Maldives,Asia,523798,67031.87335,30.6,95470.00777,183.1989122,78.92,0.74,4.12,2.875,15183.616,164.905,9.19,7803.948718,0.73950272
MEX,Mexico,North America,127504120,10804085.91,29.3,3846615.667,226732.0923,75.05,0.779,6.857,4.321,17336.469,152.783,13.06,938456.3088,0.811086113
MHL,Marshall Islands,Oceania,41593,0,0,3986.840715,4.342657343,73.7,0.704,0,0,3819.202,557.793,30.53,0,0.042851593
MKD,North Macedonia,Europe,2093606,56823.20124,39.1,190404.3108,6010.478632,75.8,0.774,13.26,8.16,13111.214,322.688,10.08,4588.956488,0.775151515
MLI,Mali,Africa,22593598,66229.3512,16.4,18159.32168,481.2851593,59.31,0.434,2.519,1.486,2014.306,268.024,2.42,0,0.767715618
MLT,Malta,Europe,533293,212716.69,42.4,54854.85392,464.4514375,82.53,0.895,19.426,11.324,36513.323,168.711,8.83,33583.74281,0.785524476
MMR,Myanmar,Asia,54179312,645225.4887,29.1,352892.0163,11168.54701,67.13,0.583,5.732,3.12,5591.597,202.104,4.61,29539.72572,0.75030303
MNE,Montenegro,Europe,627082,76187.65035,39.1,129762.5602,1557.543901,76.88,0.829,14.762,9.395,16409.288,387.305,10.08,15850.0272,0.754055944
MNG,Mongolia,Asia,3398373,400365.5214,28.6,477786.8982,1116.968143,69.87,0.737,4.031,2.421,11840.846,460.043,4.82,66263.42113,0.664320124
MNP,Northern Mariana Islands,Oceania,49574,0,0,5346.153846,17.08702409,76.74,0,0,0,0,194.994,0,0,0
MOZ,Mozambique,Africa,32969520,345012.5035,17.7,128861.0552,1312.504274,60.85,0.456,3.158,1.87,1136.103,329.942,3.3,15805.45221,0.705633256
MRT,Mauritania,Africa,4736146,51708,20.3,35124.03652,650.1787102,64.92,0.546,3.138,1.792,3597.633,232.347,2.42,5800.003108,0.714327894
MSR,Montserrat,North America,4413,57.2012432,0,456.5594406,3.228438228,74.16,0,0,0,0,0,0,7.174048174,0
MTQ,Martinique,North America,367512,0,45.7,90994.45765,522.9067599,82.54,0,0,12.543,0,0,0,0,0
MUS,Mauritius,Africa,1299478,41022.39627,37.4,113762.6643,468.5167055,74.99,0.804,10.945,5.884,20292.745,224.644,22.02,18609.67055,0.4298446
MWI,Malawi,Africa,20405318,122213.8197,18.1,51015.08936,1605.296037,64.26,0.483,2.979,1.783,1095.042,227.349,3.94,7022.819736,0.708966589
MYS,Malaysia,Asia,33938216,14398799.96,29.9,2335994.219,18902.4604,76.16,0.81,6.293,3.407,26808.164,260.942,16.74,7130640.327,0.834231366
MYT,Mayotte,Africa,326113,0,20.1,22967.02797,132.3939394,79.46,0,0,2.411,0,0,0,0,0
NAM,Namibia,Africa,2567024,22686.40249,22,97834.55944,2326.893551,63.71,0.646,3.552,2.085,9541.808,243.811,3.94,3988.652681,0.581056721
NCL,New Caledonia,Oceania,289959,10483.23543,33.4,30389.90831,153.5936286,77.55,0,9.954,6.489,0,0,23.36,3533.280497,0
NER,Niger,Africa,26207982,48187.59441,15.1,5827.531469,209.2882673,62.42,0.394,2.553,1.378,926,238.339,2.42,0,0.618065268
NGA,Nigeria,Africa,218541216,767516.3652,18.1,172020.1142,2170.487179,54.69,0.539,2.751,1.447,5338.454,181.013,2.42,67056.554,0.791266511
NIC,Nicaragua,North America,6948395,322832.258,27.3,9384.5338,179.8515929,74.48,0.66,5.445,3.519,5321.444,137.016,11.47,11237.49417,0.739285159
NIU,Niue,Oceania,1952,4.411810412,0,128.8515929,0,73.71,0,0,0,0,0,0,3.648795649,0
NLD,Netherlands,Europe,17564020,570327.2492,43.2,3970134.3,16105.6514,82.28,0.944,18.779,11.881,48472.545,109.361,5.29,255186.9356,0.857934783
NOR,Norway,Europe,5434324,1491530.321,39.7,647111.3699,2027.765346,82.4,0.957,16.821,10.813,64800.057,114.316,5.31,776059.5719,0.833022533
NPL,Nepal,Asia,30547586,2581239.8,25,605183.9099,7485.049728,70.78,0.602,5.809,3.212,2442.804,260.797,7.26,481837.6581,0.762789433
NRU,Nauru,Oceania,12691,67.63247863,0,1448.750583,0.292929293,59.96,0,0,0,12895.635,0,24.07,21.40714841,0.018445998
NZL,New Zealand,Oceania,5185289,1779407.675,37.9,671477.2067,788.8438228,82.29,0.931,15.322,9.72,36085.843,128.797,8.08,1047226.016,0.706208236
OMN,Oman,Asia,4576300,72128.87801,30.7,251111.5835,3026.646465,77.86,0.813,2.355,1.53,37960.709,266.342,12.61,8250.003108,0.674553225
OWID_AFR,Africa,0,1426736614,139955869.1,0,7418282.799,160792.0668,0,0,0,0,0,0,0,19789777.41,0
OWID_ASI,Asia,0,4721383370,1657657355,0,105588693.9,900722.4177,0,0,0,0,0,0,0,638715914.3,0
OWID_CYN,Northern Cyprus,Asia,382836,4436.681621,0,0,0,0,0,0,0,0,0,0,558.6628075,0
OWID_ENG,England,Europe,56550000,23275495.86,0,0,0,0,0,0,0,0,0,0,18689072.56,0
OWID_EUN,European Union,0,450146793,184605938.4,0,77275845.47,730376.1219,0,0,0,0,0,0,0,111789695.6,0
OWID_EUR,Europe,0,744807803,271546986.9,0,108183715.6,1204339.325,0,0,0,0,0,0,0,144303863.3,0
OWID_HIC,High income,0,1250514600,518591355,0,177112998.2,1675537.546,0,0,0,0,0,0,0,313849478.6,0
OWID_KOS,Kosovo,Europe,1782115,252291.9005,0,145082.0186,2106.508159,0,0,0,0,9795.834,0,0,22987.00389,0.803395493
OWID_LIC,Low income,0,737604900,56025854.36,0,1308489.508,29138.57809,0,0,0,0,0,0,0,4998136.866,0
OWID_LMC,Lower middle income,0,3432097300,884466712.6,0,53638190.6,808192.559,0,0,0,0,0,0,0,196225252.3,0
OWID_NAM,North America,0,600323657,219554834.2,0,61330629.47,966986.7849,0,0,0,0,0,0,0,97780708.63,0
OWID_NIR,Northern Ireland,Europe,1896000,765819.0468,0,0,0,0,0,0,0,0,0,0,522224.5578,0
OWID_OCE,Oceania,0,45038860,12660436.02,0,4588421.199,9074.655789,0,0,0,0,0,0,0,7701815.332,0
OWID_SAM,South America,0,436816679,168676790,0,36460063.66,873012.153,0,0,0,0,0,0,0,92886927.78,0
OWID_SCT,Scotland,Europe,5466000,1492037.408,0,0,0,0,0,0,0,0,0,0,784164.5889,0
OWID_UMC,Upper middle income,0,2525921300,1019647268,0,91007112.89,1599935.193,0,0,0,0,0,0,0,488834464.3,0
OWID_WLS,Wales,Europe,3170000,1289326.156,0,0,0,0,0,0,0,0,0,0,1042744.48,0
OWID_WRL,World,0,7975105024,2479329832,30.9,323562935.9,4114798.005,72.58,0.737,8.696,5.355,15469.207,233.07,8.51,1003998001,0.894013975
